2024-10-01 | Expense | Rent & Utilities | 1282.58 | Electricity bill for January
2024-10-14 | Expense | Rent & Utilities | 1937.3 | Internet subscription fee
2024-10-14 | Expense | Groceries | 226.39 | Baby food and supplies
2024-10-15 | Income | Freelance | 930.35 | Content writing fee transferred
2024-10-16 | Expense | Transport | 132.4 | Train ticket to nearby city
2024-10-16 | Expense | Transport | 379.81 | Parking fee at mall
2024-10-16 | Expense | Entertainment | 290.4 | Theater play ticket
2024-10-17 | Expense | Rent & Utilities | 1485.99 | Mobile phone postpaid bill
2024-10-17 | Expense | Entertainment | 348.57 | Music streaming subscription
2024-10-17 | Expense | Dining Out | 18.04 | Food delivery from Uber Eats
2024-10-17 | Expense | Entertainment | 341.9 | Music streaming subscription
2024-10-17 | Expense | Rent & Utilities | 1862.6 | Property maintenance fee
2024-10-17 | Income | Business Profits | 1238.41 | E-course enrollment earnings
2024-10-17 | Expense | Rent & Utilities | 747.69 | Natural gas bill payment
2024-10-17 | Expense | Rent & Utilities | 884.6 | Home insurance premium
2024-10-17 | Expense | Rent & Utilities | 1672.88 | Landline phone bill
2024-10-17 | Expense | Transport | 203.72 | Train ticket to nearby city
2024-10-17 | Expense | Transport | 159.92 | Parking fee at mall
2024-10-18 | Expense | Transport | 474.3 | Bike rental fee
2024-10-18 | Expense | Transport | 85.73 | Motorbike fuel refill
2024-10-18 | Expense | Entertainment | 321.06 | Art museum entry ticket
2024-10-18 | Expense | Rent & Utilities | 1909.83 | Home insurance premium
2024-10-19 | Expense | Rent & Utilities | 1723.22 | TV cable subscription
2024-10-19 | Expense | Rent & Utilities | 1550.83 | Landline phone bill
2024-10-19 | Expense | Entertainment | 99.65 | Subscription to online magazine
2024-10-20 | Expense | Rent & Utilities | 573.25 | Landline phone bill
2024-10-20 | Expense | Rent & Utilities | 1928.59 | Home insurance premium
2024-10-20 | Expense | Rent & Utilities | 421.28 | Water bill settlement
2024-10-20 | Expense | Transport | 230.78 | Cab fare after night out
2024-10-20 | Expense | Rent & Utilities | 1136.39 | Trash collection service
2024-10-21 | Expense | Groceries | 242.43 | Milk and bread from local store
2024-10-22 | Expense | Groceries | 174.59 | Pet food and supplies
2024-10-22 | Income | Investments | 372.65 | ETF dividend credited
2024-10-22 | Expense | Rent & Utilities | 1001.12 | Trash collection service
2024-10-22 | Expense | Groceries | 95.59 | Meat and fish from butcher shop
2024-10-23 | Expense | Transport | 249.56 | Uber ride to airport
2024-10-24 | Income | Salary | 4808.95 | Salary credited for October
2024-10-25 | Expense | Entertainment | 211.64 | Bookstore purchase of novels
2024-10-25 | Expense | Rent & Utilities | 1458.71 | TV cable subscription
2024-10-25 | Expense | Transport | 487.86 | Uber ride to airport
2024-10-26 | Expense | Transport | 214.69 | Oil change at auto center
2024-10-26 | Expense | Dining Out | 74.92 | Food delivery from Uber Eats
2024-10-27 | Expense | Entertainment | 20.19 | Movie rental on streaming platform
2024-10-27 | Expense | Transport | 177.31 | Parking fee at mall
2024-10-27 | Expense | Transport | 219.79 | Uber ride to airport
2024-10-28 | Expense | Groceries | 38.92 | Meat and fish from butcher shop
2024-10-28 | Expense | Groceries | 233.99 | Snacks and beverages
2024-10-28 | Expense | Groceries | 293.42 | Frozen foods
2024-10-28 | Expense | Transport | 292.13 | Tire replacement
2024-10-28 | Expense | Rent & Utilities | 873.56 | Landline phone bill
2024-10-28 | Income | Business Profits | 754.07 | Subscription service income
2024-10-29 | Expense | Entertainment | 364.47 | Subscription to online magazine
2024-10-29 | Expense | Entertainment | 325.17 | Video game download
2024-10-29 | Expense | Rent & Utilities | 1708.03 | Electricity bill for January
2024-10-29 | Expense | Entertainment | 487.04 | Bookstore purchase of novels
2024-10-30 | Expense | Groceries | 69.01 | Milk and bread from local store
2024-10-30 | Expense | Transport | 121.0 | Tire replacement
2024-10-30 | Expense | Transport | 485.23 | Motorbike fuel refill
2024-10-30 | Expense | Entertainment | 405.28 | Board game purchase
2024-10-30 | Expense | Entertainment | 35.46 | Amusement park entry fee
2024-10-31 | Expense | Transport | 482.08 | Car maintenance and service
2024-10-31 | Expense | Entertainment | 483.28 | Theater play ticket
2024-10-31 | Expense | Rent & Utilities | 657.97 | Mobile phone postpaid bill
