2024-11-01 | Income | Freelance | 1381.09 | Website design payment completed
2024-11-20 | Expense | Transport | 446.81 | Taxi ride to office
2024-11-20 | Expense | Rent & Utilities | 910.74 | Sewage services charge
2024-11-21 | Expense | Rent & Utilities | 1193.9 | Sewage services charge
2024-11-21 | Expense | Transport | 162.82 | Taxi ride to office
2024-11-21 | Expense | Dining Out | 147.0 | Sushi dinner at Japanese restaurant
2024-11-21 | Expense | Dining Out | 78.8 | Coffee at local cafe
2024-11-22 | Expense | Dining Out | 28.17 | Late night snacks at diner
2024-11-22 | Expense | Rent & Utilities | 686.63 | Internet subscription fee
2024-11-22 | Expense | Dining Out | 53.26 | Breakfast at bakery
2024-11-23 | Expense | Transport | 251.6 | Parking fee at mall
2024-11-23 | Expense | Dining Out | 93.33 | Sushi dinner at Japanese restaurant
2024-11-24 | Expense | Rent & Utilities | 908.88 | Water bill settlement
2024-11-24 | Expense | Groceries | 259.91 | Meat and fish from butcher shop
2024-11-24 | Expense | Entertainment | 56.26 | Amusement park entry fee
2024-11-24 | Expense | Transport | 144.13 | Bus ticket for daily commute
2024-11-24 | Expense | Transport | 486.85 | Bus ticket for daily commute
2024-11-25 | Expense | Entertainment | 122.71 | Video game download
2024-11-25 | Income | Investments | 947.85 | Mutual fund return payout
2024-11-25 | Expense | Entertainment | 308.29 | Dance class fee
2024-11-26 | Expense | Transport | 55.03 | Tire replacement
2024-11-26 | Expense | Transport | 36.77 | Cab fare after night out
2024-11-26 | Expense | Transport | 202.78 | Cab fare after night out
2024-11-27 | Expense | Rent & Utilities | 1700.19 | Natural gas bill payment
2024-11-27 | Expense | Rent & Utilities | 1257.35 | Internet subscription fee
2024-11-28 | Expense | Transport | 181.49 | Bike rental fee
2024-11-29 | Expense | Transport | 408.37 | Fuel refill at gas station
2024-11-29 | Expense | Transport | 369.0 | Oil change at auto center
2024-11-29 | Expense | Transport | 497.91 | Bike rental fee
2024-11-30 | Expense | Rent & Utilities | 1874.07 | Water bill settlement
2024-11-30 | Expense | Transport | 411.31 | Bus ticket for daily commute
2024-11-30 | Income | Business Profits | 417.4 | Profit from online store sales
2024-11-30 | Expense | Entertainment | 375.05 | Bookstore purchase of novels
