2024-04-01 | Expense | Dining Out | 86.83 | Breakfast at bakery
2024-04-22 | Expense | Rent & Utilities | 1549.82 | Trash collection service
2024-04-22 | Expense | Transport | 363.07 | Monthly metro pass
2024-04-22 | Expense | Groceries | 257.63 | Frozen foods
2024-04-22 | Expense | Groceries | 47.07 | Dairy products and eggs
2024-04-23 | Expense | Transport | 367.5 | Parking fee at mall
2024-04-23 | Expense | Entertainment | 447.3 | Movie rental on streaming platform
2024-04-23 | Expense | Entertainment | 311.57 | Board game purchase
2024-04-23 | Expense | Entertainment | 479.31 | Video game download
2024-04-24 | Expense | Transport | 153.19 | Motorbike fuel refill
2024-04-24 | Expense | Rent & Utilities | 886.16 | Sewage services charge
2024-04-24 | Income | Freelance | 1177.18 | Consultancy charges for project
2024-04-24 | Expense | Transport | 36.94 | Taxi ride to office
2024-04-25 | Expense | Groceries | 34.38 | Pet food and supplies
2024-04-26 | Expense | Entertainment | 165.09 | Subscription to online magazine
2024-04-26 | Expense | Dining Out | 61.5 | Romantic dinner at steakhouse
2024-04-26 | Expense | Dining Out | 114.06 | Street food snacks
2024-04-26 | Expense | Dining Out | 54.74 | Pizza night with family
2024-04-26 | Income | Investments | 611.85 | Interest from savings account
2024-04-27 | Expense | Dining Out | 41.09 | Desserts at pastry shop
2024-04-27 | Expense | Entertainment | 352.26 | Art museum entry ticket
2024-04-27 | Expense | Transport | 64.76 | Parking fee at mall
2024-04-27 | Expense | Entertainment | 166.67 | Subscription to online magazine
2024-04-28 | Expense | Entertainment | 438.95 | Amusement park entry fee
2024-04-28 | Expense | Entertainment | 490.8 | Video game download
2024-04-28 | Expense | Dining Out | 56.47 | Fast food lunch at McDonald's
2024-04-28 | Expense | Groceries | 219.74 | Weekly groceries restock
2024-04-28 | Expense | Transport | 434.67 | Monthly metro pass
2024-04-28 | Income | Gifts & Donations | 1088.09 | Loyalty program bonus
2024-04-29 | Expense | Transport | 214.27 | Toll charges for highway
2024-04-29 | Expense | Groceries | 34.91 | Dairy products and eggs
2024-04-29 | Expense | Entertainment | 300.08 | Subscription to online magazine
2024-04-30 | Expense | Dining Out | 129.16 | Sushi dinner at Japanese restaurant
2024-04-30 | Expense | Rent & Utilities | 869.99 | Water bill settlement
