Ascending Sorted Transactions by Date - January 2024
----------------------------------------
2024-01-01 | Expense | Rent & Utilities | $689.20 | Monthly rent payment for apartment
2024-05-23 | Expense | Transport | $236.16 | Taxi ride to office
2024-06-03 | Expense | Transport | $344.79 | Taxi ride to office
2024-07-27 | Expense | Transport | $258.49 | Taxi ride to office
2024-08-10 | Expense | Transport | $131.55 | Taxi ride to office
2024-10-10 | Expense | Transport | $162.23 | Taxi ride to office
2024-11-09 | Expense | Transport | $78.80 | Taxi ride to office
2024-11-20 | Expense | Transport | $446.81 | Taxi ride to office
2024-11-21 | Expense | Transport | $162.82 | Taxi ride to office
2024-12-22 | Expense | Transport | $147.71 | Taxi ride to office

Descending Sorted Transactions by Category - March 2024
----------------------------------------
2024-03-23 | Expense | Transport | $211.44 | Parking fee at mall
2024-03-11 | Expense | Transport | $368.86 | Parking fee at mall
2024-03-11 | Expense | Transport | $479.50 | Car maintenance and service
2024-03-12 | Expense | Transport | $90.04 | Car maintenance and service
2024-03-13 | Expense | Transport | $194.48 | Motorbike fuel refill
2024-03-13 | Expense | Transport | $304.97 | Bike rental fee
2024-03-14 | Expense | Transport | $456.20 | Fuel refill at gas station
2024-03-24 | Expense | Transport | $190.59 | Tire replacement
2024-03-15 | Expense | Transport | $78.73 | Train ticket to nearby city
2024-03-24 | Expense | Transport | $445.72 | Bus ticket for daily commute
2024-03-15 | Expense | Transport | $229.39 | Train ticket to nearby city
2024-03-17 | Expense | Transport | $223.65 | Bike rental fee
2024-03-17 | Expense | Transport | $33.24 | Parking fee at mall
2024-03-22 | Expense | Transport | $338.56 | Taxi ride to office
2024-03-22 | Expense | Transport | $337.69 | Bike rental fee
2024-03-18 | Expense | Transport | $419.18 | Bike rental fee
2024-03-20 | Expense | Transport | $296.46 | Bike rental fee
2024-03-09 | Expense | Transport | $179.81 | Taxi ride to office
2024-03-29 | Expense | Transport | $479.74 | Toll charges for highway
2024-03-08 | Expense | Transport | $284.79 | Fuel refill at gas station
2024-03-29 | Expense | Transport | $194.94 | Motorbike fuel refill
2024-03-28 | Expense | Rent & Utilities | $1640.69 | TV cable subscription
2024-03-30 | Expense | Rent & Utilities | $1380.19 | Home insurance premium
2024-03-17 | Expense | Rent & Utilities | $1567.87 | Internet subscription fee
2024-03-23 | Expense | Rent & Utilities | $1792.10 | Property maintenance fee
2024-03-15 | Expense | Rent & Utilities | $1305.41 | Trash collection service
2024-03-04 | Expense | Rent & Utilities | $598.68 | Mobile phone postpaid bill
2024-03-04 | Expense | Rent & Utilities | $1970.06 | Electricity bill for January
2024-03-30 | Expense | Rent & Utilities | $498.35 | Monthly rent payment for apartment
2024-03-31 | Expense | Rent & Utilities | $875.82 | Electricity bill for January
2024-03-27 | Expense | Rent & Utilities | $1961.53 | Electricity bill for January
2024-03-12 | Expense | Rent & Utilities | $371.91 | Monthly rent payment for apartment
2024-03-01 | Expense | Rent & Utilities | $1301.05 | Monthly rent payment for apartment
2024-03-21 | Expense | Rent & Utilities | $1591.79 | Home insurance premium
2024-03-20 | Expense | Rent & Utilities | $428.10 | Heating system maintenance
2024-03-10 | Expense | Rent & Utilities | $858.41 | Water bill settlement
2024-03-10 | Expense | Rent & Utilities | $1939.50 | TV cable subscription
2024-03-01 | Expense | Groceries | $123.20 | Snacks and beverages
2024-03-21 | Expense | Groceries | $46.46 | Baby food and supplies
2024-03-29 | Expense | Groceries | $157.02 | Spices and condiments
2024-03-28 | Expense | Groceries | $205.81 | Dairy products and eggs
2024-03-27 | Expense | Groceries | $91.67 | Organic produce from farmers market
2024-03-31 | Expense | Groceries | $91.55 | Cereal and breakfast items
2024-03-24 | Expense | Groceries | $228.91 | Bulk purchase of rice and pasta
2024-03-26 | Expense | Groceries | $287.85 | Cereal and breakfast items
2024-03-25 | Expense | Groceries | $140.15 | Bought vegetables and fruits
2024-03-11 | Expense | Groceries | $197.30 | Bulk purchase of rice and pasta
2024-03-06 | Expense | Groceries | $137.87 | Milk and bread from local store
2024-03-07 | Expense | Groceries | $140.38 | Household necessities from hypermarket
2024-03-09 | Expense | Groceries | $262.61 | Purchased cleaning supplies
2024-03-04 | Expense | Groceries | $192.23 | Household necessities from hypermarket
2024-03-11 | Expense | Groceries | $57.00 | Dairy products and eggs
2024-03-03 | Expense | Groceries | $141.99 | Baby food and supplies
2024-03-14 | Expense | Groceries | $287.01 | Pet food and supplies
2024-03-15 | Expense | Groceries | $299.60 | Baby food and supplies
2024-03-17 | Expense | Groceries | $66.07 | Pet food and supplies
2024-03-17 | Expense | Groceries | $218.13 | Frozen foods
2024-03-17 | Expense | Groceries | $124.40 | Household necessities from hypermarket
2024-03-03 | Expense | Groceries | $140.93 | Dairy products and eggs
2024-03-20 | Expense | Entertainment | $172.71 | Karaoke night with friends
2024-03-29 | Expense | Entertainment | $46.86 | Video game download
2024-03-05 | Expense | Entertainment | $341.87 | Video game download
2024-03-03 | Expense | Entertainment | $299.40 | Movie rental on streaming platform
2024-03-31 | Expense | Entertainment | $58.80 | Theater play ticket
2024-03-06 | Expense | Entertainment | $418.53 | Music streaming subscription
2024-03-08 | Expense | Entertainment | $472.44 | Music streaming subscription
2024-03-08 | Expense | Entertainment | $18.73 | Video game download
2024-03-11 | Expense | Entertainment | $56.20 | Cinema tickets for latest movie
2024-03-22 | Expense | Entertainment | $485.98 | Cinema tickets for latest movie
2024-03-19 | Expense | Entertainment | $195.16 | Art museum entry ticket
2024-03-21 | Expense | Entertainment | $34.12 | Subscription to online magazine
2024-03-26 | Expense | Dining Out | $120.18 | Brunch with friends at bistro
2024-03-31 | Expense | Dining Out | $26.26 | Brunch with friends at bistro
2024-03-01 | Expense | Dining Out | $148.25 | Business lunch with client

Transactions Found by the Keyword: Bonus
----------------------------------------
2024-01-03 | Income | Salary | $1805.82 | Performance bonus payout
2024-01-11 | Income | Salary | $4722.86 | Performance bonus payout
2024-01-19 | Income | Salary | $1987.81 | Holiday bonus credited
2024-02-03 | Income | Salary | $4940.00 | Performance bonus payout
2024-02-16 | Income | Salary | $1807.89 | End of year bonus received
2024-04-28 | Income | Gifts & Donations | $1088.09 | Loyalty program bonus
2024-05-25 | Income | Salary | $3767.53 | End of year bonus received
2024-06-01 | Income | Gifts & Donations | $522.31 | Loyalty program bonus
2024-06-07 | Income | Salary | $5235.32 | Performance bonus payout
2024-06-15 | Income | Salary | $5153.50 | Performance bonus payout
2024-07-30 | Income | Salary | $5114.02 | Holiday bonus credited
2024-09-12 | Income | Salary | $5041.01 | End of year bonus received
2024-11-15 | Income | Salary | $1655.98 | End of year bonus received

Descending Sorted Transactions by Amount - February 2024
----------------------------------------
2024-02-16 | Expense | Rent & Utilities | $1999.84 | Trash collection service
2024-02-24 | Expense | Rent & Utilities | $1998.13 | Home insurance premium
2024-02-02 | Expense | Rent & Utilities | $1877.04 | Home insurance premium
2024-02-06 | Expense | Rent & Utilities | $1857.32 | Water bill settlement
2024-02-09 | Expense | Rent & Utilities | $1828.14 | Home insurance premium
2024-02-26 | Expense | Rent & Utilities | $1666.64 | Internet subscription fee
2024-02-15 | Expense | Rent & Utilities | $1489.55 | Natural gas bill payment
2024-02-14 | Expense | Rent & Utilities | $1474.04 | Landline phone bill
2024-02-08 | Expense | Rent & Utilities | $1435.92 | Trash collection service
2024-02-17 | Expense | Rent & Utilities | $1363.19 | Heating system maintenance
2024-02-24 | Expense | Rent & Utilities | $1347.05 | Property maintenance fee
2024-02-08 | Expense | Rent & Utilities | $1258.75 | Internet subscription fee
2024-02-23 | Expense | Rent & Utilities | $1238.83 | Electricity bill for January
2024-02-01 | Expense | Rent & Utilities | $1002.52 | Internet subscription fee
2024-02-06 | Expense | Rent & Utilities | $950.33 | Landline phone bill
2024-02-28 | Expense | Rent & Utilities | $886.71 | Property maintenance fee
2024-02-08 | Expense | Rent & Utilities | $694.72 | Landline phone bill
2024-02-16 | Expense | Transport | $483.27 | Train ticket to nearby city
2024-02-15 | Expense | Entertainment | $462.11 | Amusement park entry fee
2024-02-02 | Expense | Entertainment | $458.01 | Theater play ticket
2024-02-23 | Expense | Entertainment | $430.17 | Theater play ticket
2024-02-29 | Expense | Rent & Utilities | $425.57 | Trash collection service
2024-02-18 | Expense | Entertainment | $376.78 | Music streaming subscription
2024-02-25 | Expense | Entertainment | $369.55 | Video game download
2024-02-07 | Expense | Entertainment | $366.42 | Subscription to online magazine
2024-02-18 | Expense | Transport | $363.58 | Bike rental fee
2024-02-08 | Expense | Transport | $358.39 | Monthly metro pass
2024-02-10 | Expense | Entertainment | $348.38 | Video game download
2024-02-04 | Expense | Transport | $346.87 | Bike rental fee
2024-02-05 | Expense | Entertainment | $345.67 | Concert ticket for live band
2024-02-14 | Expense | Entertainment | $339.40 | Subscription to online magazine
2024-02-11 | Expense | Entertainment | $336.35 | Theater play ticket
2024-02-01 | Expense | Entertainment | $332.57 | Concert ticket for live band
2024-02-17 | Expense | Entertainment | $305.05 | Theater play ticket
2024-02-26 | Expense | Transport | $304.14 | Train ticket to nearby city
2024-02-13 | Expense | Transport | $297.05 | Car maintenance and service
2024-02-29 | Expense | Groceries | $292.48 | Meat and fish from butcher shop
2024-02-18 | Expense | Entertainment | $288.73 | Cinema tickets for latest movie
2024-02-01 | Expense | Transport | $251.46 | Parking fee at mall
2024-02-27 | Expense | Groceries | $241.94 | Household necessities from hypermarket
2024-02-25 | Expense | Entertainment | $229.72 | Movie rental on streaming platform
2024-02-28 | Expense | Entertainment | $225.26 | Music streaming subscription
2024-02-25 | Expense | Groceries | $204.92 | Organic produce from farmers market
2024-02-14 | Expense | Groceries | $201.31 | Bought vegetables and fruits
2024-02-25 | Expense | Entertainment | $171.06 | Bookstore purchase of novels
2024-02-24 | Expense | Groceries | $170.04 | Organic produce from farmers market
2024-02-08 | Expense | Transport | $158.50 | Motorbike fuel refill
2024-02-03 | Expense | Groceries | $149.28 | Supermarket shopping
2024-02-23 | Expense | Dining Out | $147.23 | Brunch with friends at bistro
2024-02-19 | Expense | Dining Out | $145.67 | Desserts at pastry shop
2024-02-13 | Expense | Dining Out | $138.74 | Romantic dinner at steakhouse
2024-02-12 | Expense | Transport | $136.93 | Fuel refill at gas station
2024-02-11 | Expense | Dining Out | $131.09 | Late night snacks at diner
2024-02-28 | Expense | Dining Out | $129.47 | Fast food lunch at McDonald's
2024-02-13 | Expense | Dining Out | $129.33 | Late night snacks at diner
2024-02-23 | Expense | Transport | $127.27 | Motorbike fuel refill
2024-02-17 | Expense | Dining Out | $126.57 | Sushi dinner at Japanese restaurant
2024-02-02 | Expense | Groceries | $120.37 | Spices and condiments
2024-02-09 | Expense | Groceries | $111.52 | Baby food and supplies
2024-02-19 | Expense | Dining Out | $106.64 | Desserts at pastry shop
2024-02-09 | Expense | Groceries | $101.80 | Purchased cleaning supplies
2024-02-08 | Expense | Dining Out | $101.25 | Food delivery from Uber Eats
2024-02-04 | Expense | Dining Out | $90.61 | Street food snacks
2024-02-28 | Expense | Dining Out | $66.10 | Fast food lunch at McDonald's
2024-02-12 | Expense | Transport | $65.73 | Monthly metro pass
2024-02-10 | Expense | Dining Out | $65.41 | Dinner at Italian restaurant
2024-02-08 | Expense | Entertainment | $62.74 | Art museum entry ticket
2024-02-19 | Expense | Groceries | $61.78 | Household necessities from hypermarket
2024-02-14 | Expense | Groceries | $61.72 | Snacks and beverages
2024-02-03 | Expense | Dining Out | $57.40 | Breakfast at bakery
2024-02-24 | Expense | Groceries | $45.57 | Bought vegetables and fruits
2024-02-09 | Expense | Dining Out | $45.32 | Fast food lunch at McDonald's
2024-02-27 | Expense | Groceries | $44.66 | Snacks and beverages
2024-02-25 | Expense | Transport | $34.51 | Bike rental fee
2024-02-15 | Expense | Dining Out | $33.49 | Romantic dinner at steakhouse
2024-02-24 | Expense | Dining Out | $32.93 | Sushi dinner at Japanese restaurant
2024-02-28 | Expense | Dining Out | $23.96 | Desserts at pastry shop
2024-02-23 | Expense | Dining Out | $23.03 | Brunch with friends at bistro
2024-02-18 | Expense | Dining Out | $21.99 | Breakfast at bakery
2024-02-08 | Expense | Groceries | $20.75 | Frozen foods

Ascending Sorted Transactions by Category - November 2024
----------------------------------------
2024-11-01 | Income | Business Profits | $415.82 | Rental income from property
2024-11-30 | Income | Business Profits | $417.40 | Profit from online store sales
2024-11-22 | Expense | Dining Out | $28.17 | Late night snacks at diner
2024-11-09 | Expense | Dining Out | $60.43 | Fast food lunch at McDonald's
2024-11-10 | Expense | Dining Out | $135.18 | Breakfast at bakery
2024-11-13 | Expense | Dining Out | $45.57 | Desserts at pastry shop
2024-11-23 | Expense | Dining Out | $93.33 | Sushi dinner at Japanese restaurant
2024-11-22 | Expense | Dining Out | $53.26 | Breakfast at bakery
2024-11-16 | Expense | Dining Out | $107.31 | Ice cream from parlor
2024-11-18 | Expense | Dining Out | $122.77 | Desserts at pastry shop
2024-11-05 | Expense | Dining Out | $65.00 | Desserts at pastry shop
2024-11-19 | Expense | Dining Out | $112.80 | Breakfast at bakery
2024-11-02 | Expense | Dining Out | $19.32 | Ice cream from parlor
2024-11-19 | Expense | Dining Out | $137.36 | Pizza night with family
