2024-08-01 | Expense | Groceries | 124.47 | Bought vegetables and fruits
2024-08-17 | Income | Investments | 952.59 | Mutual fund return payout
2024-08-18 | Expense | Groceries | 97.34 | Frozen foods
2024-08-18 | Expense | Entertainment | 362.58 | Music streaming subscription
2024-08-19 | Expense | Dining Out | 139.49 | Romantic dinner at steakhouse
2024-08-19 | Expense | Transport | 336.24 | Cab fare after night out
2024-08-20 | Expense | Dining Out | 76.44 | Business lunch with client
2024-08-20 | Income | Gifts & Donations | 1014.99 | Birthday gift from family
2024-08-20 | Expense | Groceries | 258.61 | Bulk purchase of rice and pasta
2024-08-21 | Income | Gifts & Donations | 438.71 | Cashback reward from online store
2024-08-21 | Expense | Dining Out | 129.22 | Desserts at pastry shop
2024-08-21 | Expense | Dining Out | 51.44 | Desserts at pastry shop
2024-08-22 | Expense | Groceries | 296.74 | Cereal and breakfast items
2024-08-22 | Expense | Groceries | 159.26 | Household necessities from hypermarket
2024-08-23 | Expense | Transport | 240.15 | Bus ticket for daily commute
2024-08-23 | Expense | Groceries | 33.9 | Bulk purchase of rice and pasta
2024-08-23 | Income | Freelance | 306.02 | Website design payment completed
2024-08-23 | Expense | Dining Out | 128.21 | Fast food lunch at McDonald's
2024-08-23 | Expense | Groceries | 204.49 | Bought vegetables and fruits
2024-08-24 | Expense | Groceries | 124.28 | Cereal and breakfast items
2024-08-24 | Expense | Dining Out | 103.78 | Pizza night with family
2024-08-24 | Expense | Transport | 343.0 | Bus ticket for daily commute
2024-08-24 | Expense | Groceries | 135.45 | Bought vegetables and fruits
2024-08-25 | Expense | Groceries | 169.98 | Dairy products and eggs
2024-08-25 | Expense | Transport | 112.81 | Motorbike fuel refill
2024-08-25 | Expense | Rent & Utilities | 472.19 | Natural gas bill payment
2024-08-26 | Expense | Transport | 86.88 | Tire replacement
2024-08-26 | Income | Business Profits | 665.74 | Rental income from property
2024-08-26 | Expense | Dining Out | 33.35 | Coffee at local cafe
2024-08-27 | Expense | Groceries | 256.0 | Milk and bread from local store
2024-08-27 | Expense | Groceries | 34.16 | Dairy products and eggs
2024-08-27 | Expense | Entertainment | 310.39 | Video game download
2024-08-27 | Expense | Transport | 157.49 | Car maintenance and service
2024-08-27 | Expense | Transport | 403.61 | Car maintenance and service
2024-08-27 | Expense | Entertainment | 315.25 | Video game download
2024-08-28 | Expense | Groceries | 228.24 | Cereal and breakfast items
2024-08-28 | Expense | Groceries | 241.62 | Weekly groceries restock
2024-08-28 | Expense | Groceries | 77.88 | Spices and condiments
2024-08-28 | Expense | Entertainment | 476.81 | Art museum entry ticket
2024-08-28 | Expense | Groceries | 258.56 | Organic produce from farmers market
2024-08-28 | Expense | Rent & Utilities | 845.08 | Trash collection service
2024-08-29 | Expense | Transport | 250.51 | Tire replacement
2024-08-29 | Expense | Groceries | 265.05 | Bulk purchase of rice and pasta
2024-08-29 | Expense | Dining Out | 36.68 | Ice cream from parlor
2024-08-29 | Income | Business Profits | 282.92 | Dropshipping profits
2024-08-29 | Expense | Groceries | 208.01 | Cereal and breakfast items
2024-08-30 | Income | Business Profits | 972.28 | Subscription service income
2024-08-30 | Income | Freelance | 960.43 | Content writing fee transferred
2024-08-30 | Expense | Entertainment | 254.64 | Monthly Netflix subscription
2024-08-30 | Expense | Dining Out | 34.81 | Romantic dinner at steakhouse
2024-08-31 | Expense | Groceries | 45.0 | Dairy products and eggs
2024-08-31 | Expense | Dining Out | 106.59 | Desserts at pastry shop
