2024-12-01 | Expense | Dining Out | 86.09 | Dinner at Italian restaurant
2024-12-21 | Expense | Entertainment | 200.06 | Amusement park entry fee
2024-12-22 | Expense | Rent & Utilities | 1489.74 | TV cable subscription
2024-12-22 | Expense | Transport | 147.71 | Taxi ride to office
2024-12-22 | Expense | Dining Out | 90.39 | Desserts at pastry shop
2024-12-22 | Expense | Rent & Utilities | 944.15 | Home insurance premium
2024-12-22 | Expense | Dining Out | 21.85 | Ice cream from parlor
2024-12-23 | Expense | Entertainment | 420.54 | Dance class fee
2024-12-24 | Expense | Rent & Utilities | 1562.2 | TV cable subscription
2024-12-24 | Expense | Transport | 232.96 | Parking fee at mall
2024-12-24 | Expense | Dining Out | 148.08 | Sushi dinner at Japanese restaurant
2024-12-24 | Expense | Rent & Utilities | 1998.28 | Mobile phone postpaid bill
2024-12-24 | Expense | Entertainment | 434.43 | Monthly Netflix subscription
2024-12-25 | Expense | Entertainment | 487.24 | Subscription to online magazine
2024-12-25 | Expense | Transport | 409.23 | Motorbike fuel refill
2024-12-25 | Expense | Entertainment | 261.36 | Theater play ticket
2024-12-26 | Expense | Dining Out | 114.91 | Pizza night with family
2024-12-26 | Income | Freelance | 1372.51 | Website design payment completed
2024-12-26 | Expense | Entertainment | 301.41 | Bookstore purchase of novels
2024-12-26 | Expense | Entertainment | 397.63 | Karaoke night with friends
2024-12-27 | Expense | Entertainment | 281.98 | Video game download
2024-12-27 | Expense | Entertainment | 178.9 | Art museum entry ticket
2024-12-27 | Income | Investments | 1489.81 | Mutual fund return payout
2024-12-27 | Expense | Transport | 284.73 | Fuel refill at gas station
2024-12-27 | Income | Gifts & Donations | 315.97 | Charity donation from anonymous donor
2024-12-28 | Expense | Rent & Utilities | 387.23 | Natural gas bill payment
2024-12-28 | Expense | Entertainment | 307.59 | Music streaming subscription
2024-12-28 | Expense | Groceries | 135.88 | Pet food and supplies
2024-12-28 | Expense | Rent & Utilities | 543.6 | Electricity bill for January
2024-12-29 | Expense | Transport | 235.52 | Train ticket to nearby city
2024-12-29 | Expense | Rent & Utilities | 1247.83 | Internet subscription fee
2024-12-29 | Expense | Entertainment | 476.1 | Bookstore purchase of novels
2024-12-29 | Expense | Transport | 462.96 | Motorbike fuel refill
2024-12-29 | Expense | Rent & Utilities | 1587.03 | Landline phone bill
2024-12-30 | Expense | Dining Out | 130.77 | Coffee at local cafe
2024-12-30 | Expense | Transport | 496.96 | Monthly metro pass
2024-12-30 | Expense | Rent & Utilities | 848.8 | Mobile phone postpaid bill
2024-12-30 | Expense | Dining Out | 141.13 | Breakfast at bakery
2024-12-30 | Expense | Transport | 18.94 | Oil change at auto center
2024-12-31 | Expense | Entertainment | 115.19 | Music streaming subscription
2024-12-31 | Expense | Rent & Utilities | 1695.28 | Trash collection service
